key,value,comment
UI_START_SCREEN_RESUME,"Continua","Resume game button on the start screen"
UI_START_SCREEN_NEW_GAME,"Nuova Partita","New game button on the start screen"
UI_START_SCREEN_SETTINGS,"Impostazioni","Settings button on the start screen"
UI_START_SCREEN_EXIT,"Esci","Exit button on the start screen"
UI_CLOSE_BUTTON,"Chiudi","Button to close a menu or a dialog"
UI_YES_BUTTON,"Si","Button to close a menu or a dialog"
UI_NO_BUTTON,"No","Button to close a menu or a dialog"
UI_SETTINGS_TAB_DISPLAY,"Schermo","Tab for display settings"
UI_SETTINGS_TAB_AUDIO,"Audio","Tab for audio settings"
UI_SETTINGS_TAB_CONTROLS,"Controlli","Tab for control settings"
UI_SETTINGS_TAB_SHIP,"Nave","Tab for control settings"
UI_SETTINGS_DISPLAY_LANGUAGE,"Lingua","Setting for display language"
UI_SETTINGS_DISPLAY_MODE,"Impostazioni Schermo","Setting for display mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"Schermo Interno Senza bordi","Run the game in windowed fullscreen mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"Modalità Finestra","Run the game in windowed mode"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"Schermo Intero","Run the game in exclusive fullscreen"
UI_SETTINGS_DISPLAY_MISSION_DATA,"Mostra Info Missione","Setting to toggle mission data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"Mostra I Colori Del Danno","Setting to toggle damage colors"
UI_SETTINGS_DISPLAY_FPS,"Mostra FPS","Setting to toggle fps"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"Usa Cursore Nativo","Setting to toggle native mouse cursor"
UI_SETTINGS_AUDIO_LIB,"Libreria Audio","Setting to toggle audio library"
UI_SETTINGS_AUDIO_GLOBAL,"Globale","Setting for Global audio volume"
UI_SETTINGS_AUDIO_MUSIC,"Musica","Setting for Music volume"
UI_SETTINGS_AUDIO_SFX,"SFX","Setting for SFX volume"
UI_SETTINGS_AUDIO_UI,"UI","Setting for UI volume"
UI_SETTINGS_AUDIO_VOICE,"Voce","Setting for Voice volume"
UI_SETTINGS_CONTROLS_CONTROLLER_SELECT,"Seleziona","Setting for controller select button"
UI_SETTINGS_CONTROLS_CONTROLLER_BACK,"Indietro / Lascia Oggetto","Setting for controller back button. Is also used to drop an item."
UI_SETTINGS_CONTROLS_CONTROLLER_CONFIRM,"Conferma / Trasferisci Oggetto","Setting for controller confirm button. Is also used to transfer an item."
UI_SETTINGS_CONTROLS_CONTROLLER_INFO,"Info","Setting for controller info button."
UI_SETTINGS_CONTROLS_CONTROLLER_DASH,"Scatto","Setting for controller dash button."
UI_SETTINGS_CONTROLS_CONTROLLER_OPTIONS,"Opzioni","Setting for controller options button."
UI_SETTINGS_CONTROLS_CONTROLLER_SEARCH,"Cerca","Setting for controller search button."
UI_SETTINGS_CONTROLS_CONTROLLER_DEADZONE,"Deadzone","Setting for controller deadzone."
UI_SETTINGS_CONTROLS_CONTROLLER_VIBRATION,"Vibrazioni","Setting for controller vibration."
UI_SETTINGS_CONTROLS_SECTION_KEYBOARD,"Tastiera","Section for keyboard settings."
UI_SETTINGS_CONTROLS_KEYBOARD_UP,"Su","Setting for keyboard Up button"
UI_SETTINGS_CONTROLS_KEYBOARD_LEFT,"Sinistra","Setting for keyboard Left button"
UI_SETTINGS_CONTROLS_KEYBOARD_DOWN,"Giù","Setting for keyboard Down button"
UI_SETTINGS_CONTROLS_KEYBOARD_RIGHT,"Destra","Setting for keyboard Right button"
UI_SETTINGS_CONTROLS_KEYBOARD_DASH,"Scatto","Setting for keyboard Dash button"
UI_SETTINGS_CONTROLS_KEYBOARD_INFO,"Info","Setting for keyboard Info button"
UI_SETTINGS_CONTROLS_KEYBOARD_CONFIRM,"Conferma","Setting for keyboard Confirm button"
UI_SETTINGS_CONTROLS_KEYBOARD_SCREENSHOT,"Screenshot","Setting for keyboard Screenshot button"
UI_SETTINGS_CONTROLS_SECTION_MOUSE,"Mouse","Section for mouse settings."
UI_SETTINGS_CONTROLS_MOUSE_SCROLL_SPEED,"Velocità Di Scorrimento","Setting for mouse scroll speed"
UI_SETTINGS_SHIP_PERSONAL_STASH,"Usa Collezione Personale","Setting if the player wants to use this ship's personal stash"
UI_SETTINGS_SHIP_EXCLUDE_ENGINE_FROM_DPS_PREVIEW,"Escludi Motore Dalla Anteprima DPS","Setting if the player wants to exclude Engine from DPS preview for this ship"
UI_BACK_BUTTON,"Indietro","Common back button"
UI_EDIT_BUTTON,"Modifica","Common edit button"
UI_RESUME_BUTTON,"Continua","Common resume button"
UI_RENAME_BUTTON,"Rinomina","Common rename button"
UI_DELETE_BUTTON,"Elimina","Common delete button"
UI_OK_BUTTON,"Ok","Common ok button"
UI_CANCEL_BUTTON,"Annulla","Common cancel button"
UI_EXIT_BUTTON,"Esci","Common exit button"
UI_GAME_DATA_BASE_ERROR_HEADLINE,"Errore del Database di Gioco",""
UI_ONLY_ONE_INSTANCE_ERROR_HEADLINE,"Astroloot è già in esecuzione",""
UI_ONLY_ONE_INSTANCE_ERROR_CONTENT,"Per cortesia chiudere tutte le istanze di Astroloot prima di eseguirne una nuova. Per evitare conflitti, solo una istanza può essere in esecuzione.",""
UI_LANGUAGE_CHANGE_NOT_POSSIBLE,"La lingua è modificabile solo tramite le impostazioni nel menù principale.",""
UI_ERROR_HEADLINE,"Errore","Common headline when an error has occurred"
UI_ERROR_CONTENT,"Si è verificato un errore sconosciuto.\nAltri dettagli possono trovarsi nei file di log del gioco.","Common description when an error has occurred"
UI_DB_NEWER_VERSION_ERROR_CONTENT,"Questo salvataggio è stato creato da un versione più recente di Astroloot.\nPer favore aggiornare all'ultuma versione.",""
UI_DB_MIGRATION_ERROR_CONTENT,"Non è stato possibile migrare il db di gioco all'ultima versione",""
UI_DELETE_GAME_HEADLINE,"Elimina Partita","Headline for the delete game alert"
UI_DELETE_GAME_CONTENT,"Sei sicuro di voler eliminare {0} (livello {1})?","Dialog content to confirm player deletion.\n{0}=player name\n{1}=player level"
UI_DELETE_GAME_CONTENT_WARNING,"Attenzione!\nL'eliminazione è permanente e irreversibile.","Warning displayed below DELETE_GAME_CONTENT"
UI_NEW_GAME_CHOOSE_SHIP,"Scegli la tua Nave","Headline of new game screen"
UI_NEW_GAME_CHOOSE_NAME,"Come ti chiami?","Headline for player name selection"
UI_START_BUTTON,"Inizia","Common start button"
UI_ACCEPT_BUTTON,"Accetta","Common accept button"
UI_IGNORE_BUTTON,"Ignora","Common ignore button"
UI_REJECT_BUTTON,"Rifiuta","Common reject button"
UI_SHIP_DESCRIPTION_LEVIATHAN,"Bruto Corazzato","Description of the Leviathan ship"
UI_SHIP_DESCRIPTION_HYPERION,"Cannone di Vetro Energetico","Description of the Hyperion ship"
UI_SHIP_DESCRIPTION_CHRONOS,"Tattico Rapido","Description of the Chronos ship"
UI_SHIP_SELECT,"Seleziona","Control hint to select a ship"
UI_SHIP_DESELECT,"Deseleziona","Control hint to deselect a ship"
UI_RESUME_MISSION_BUTTON,"Continua Missione","Resume the current mission"
UI_ABORT_MISSION_BUTTON,"Abbandona Missione","Abort the current mission"
UI_SETTINGS_BUTTON,"Impostazioni","Settings button"
UI_BACK_TO_MAIN_MENU_BUTTON,"Ritorna al Menù principale","Close the current game and go back to the main menu"
UI_EXIT_GAME_BUTTON,"Chiudi Astroloot","Exit the game"
UI_RESUME_GAME_BUTTON,"Continua Partita","Resume game button"
UI_ONLINE_MULTIPLAYER_BUTTON,"Online Multigiocatore","Online Multiplayer button"
UI_LOCAL_MULTIPLAYER_BUTTON,"Locale Multigiocatore","Local Multiplayer button"
UI_REWARD_CHOOSE_BOON,"Scegli un Dono permanente","Ask the player to choose one permanent boon"
UI_REWARD_CANNOT_CLAIM,"Non posso ricevere questa ricompensa.","Speech-bubble for the player that this reward cannot be claimed"
UI_DIALOG_CONTINUE,"Continua",""
UI_MENU_ITEMS,"Oggetti","Max 10 characters"
UI_MENU_TRADE,"Scambia","Max 10 characters"
UI_MENU_STASH,"Collezione","Max 10 characters"
UI_MENU_SKILLS,"Abilità","Max 6 characters"
UI_MENU_MISSIONS,"Missioni","Max 10 characters"
UI_APPLY_BUTTON,"Applica","Max 10 characters"
UI_DISCARD_BUTTON,"Scarta","Max 10 characters"
UI_CRAFT_MODE_INACTIVE,"Non Attivo",""
UI_CRAFT_MODE_DPS,"Dps",""
UI_CRAFT_MODE_MAX_HIT,"Colpo Max",""
UI_CRAFT_MODE_MODIFIER_SLOTS,"Slot Modificatori",""
UI_CRAFT_MODE_AFFIX,"Affisso",""
UI_CRAFT_MODE_SELECTED_AFFIXES,"Affisso ({0})","{0}=amount"
UI_CRAFT_ERROR_TARGET_ITEM_HAS_WRONG_TYPE,"L'oggetto bersaglio non è del Tipo corretto.",""
UI_CRAFT_ERROR_TARGET_ITEM_HAS_WRONG_RARITY,"L'oggetto bersaglio non è della rarità corretta.",""
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_AFFIX_TO_REMOVE,"L'oggetto bersaglio non ha affissi da rimuovere.",""
UI_CRAFT_ERROR_AFFIX_NOT_ALLOWED_ON_TARGET_ITEM,"L'affisso non può essere assegnato all'oggetto bersaglio.",""
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_FREE_AFFIX_CATEGORY_LEFT,"L'oggetto bersaglio ha nessun {0} disponibile","{0}=affix type, e.g. Suffix or Prefix"
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_FREE_AFFIX_LEFT,"L'oggetto bersaglio non ha nessun affisso libero",""
UI_CRAFT_ERROR_TARGET_ITEM_ALREADY_HAS_AFFIX_TYPE,"L'oggetto bersaglio ha già un affisso di questo tipo.",""
UI_CRAFT_ERROR_TARGET_ITEM_MUST_NOT_BE_IN_STORAGE_CONTAINER,"L'oggetto bersaglio non può essere Target item must not be in a storage container",""
UI_CRAFT_ERROR_TARGET_ITEM_IS_ALREADY_COMMON,"L'oggetto bersaglio è già comune.",""
UI_CRAFT_ERROR_TARGET_ITEM_IS_NOT_UNIQUE,"L'oggetto bersaglio non è unico.",""
UI_CRAFT_ERROR_TARGET_ITEM_CANNOT_BE_IMPROVED,"L'oggetto bersaglio non può essere migliorato",""
UI_CRAFT_ERROR_TARGET_ITEM_AFFIXES_CANNOT_BE_IMPROVED_ANY_FURTHER,"Gli affissi di questo oggetto non possono essere migliorati ulteriormente.",""
UI_CRAFT_ERROR_TARGET_ITEM_CANNOT_HAVE_MODIFIER_SLOTS,"L'oggetto bersaglio non può avere slot modificatori.",""
UI_CRAFT_ERROR_TARGET_ITEM_ALREADY_HAS_MAX_MODIFIER_SLOTS,"L'oggetto bersaglio ha già il numero massimo di slot modificatori.",""
UI_NO_SPACE_IN_INVENTORY_FOR_CHIP,"Non c'è spazio nell'inventario dove mettere il chip.",""
UI_NO_ITEM_TO_TAKE,"Non ci sono oggetti da prendere.",""
UI_NO_PLACE_FOR_ITEM,"Non c'è posto per questo oggetto.",""
UI_CANNOT_PUT_ITEM_HERE,"Non posso mettere questo oggetto qui.",""
UI_CARLO_DOES_NOT_TRADE_THIS,"Non scambio questi oggetti.",""
UI_CARLO_NO_PLACE_IN_SHOP,"Non ho spazio per il prezzo di questo oggetto nel mio negozio.",""
UI_CARLO_NO_PLACE_IN_INVENTORY,"Non c'è spazio per il prezzo di questo oggetto nel tuo inventario.",""
UI_CARLO_NOT_ENOUGH_DICE_PLAYER,"Non hai abbastana dadi per questo.",""
UI_CARLO_NOT_ENOUGH_DICE_TRADER,"Non ho abbastanza dadi per questo oggetto adesso.",""
UI_STASH_UNLOCKED,"Sperio di aver lasciato qualcosa di buono qua.",""
UI_CARLO_NO_BUYBACK_TURTLE_EGG,"Grazie ancora per avermelo riportato, amico.",""
UI_CARLO_NO_BUYBACK_GOLDEN_TURTLE_EGG,"Grazie ancora per il tuo aiuto, amico.",""
UI_CARLO_TURTLE_EGG_RETURNED,"Aww, hai trovato una delle mie preziose uova! Prendi questo dalla mia collezione personale.",""
UI_CARLO_GOLDEN_TURTLE_EGG_RETURNED,"Grazie per questo pezzo della mia anima. Possano questi dadi portarti fortuna..",""
UI_CARLO_TURTLE_EASTER_EGG_RETURNED,"Mi hai reso così felice! Se mai dovessi pentirti delle tue scelte.. Prendi questi.",""
UI_CARLO_SECRET_TRADE,"Psst. Per favore non dire a nessuno che scambio quelli.",""
UI_PICK_UP_HINT,"Ottieni","Control Hint to pick up an item"
UI_TAKE_HINT,"Prendi","Control Hint to take an inventory item"
UI_CLAIM_HINT,"Reclama","Control Hint to claim a reward item"
UI_STASH_HINT,"Riponi","Control Hint to stash an item"
UI_UNSTASH_HINT,"Ritira","Control Hint to unstash an item"
UI_OPEN_HINT,"Apri","Control Hint to open an item storage"
UI_DETAILS_HINT,"Dettagli","Control Hint to show verbose details about an item"
UI_BUY_HINT,"Compra","Control Hint to buy an item"
UI_SELL_HINT,"Vendi","Control Hint to sell an item"
UI_DROP_HINT,"Scarta","Control Hint to drop an item"
UI_PRICE_HINT,"Prezzo:","Control Hint that shows the price of an item (price is displayed as dice icon after the colon)"
UI_CHOOSE_HINT,"Scegli","Control Hint to choose a boon"
UI_CHOOSE_REWARD_HEADLINE,"Scegli una ricompensa","Headline to tell the player to choose one of the offered rewards"
UI_LOST_IN_THE_SKILL_TREE_HINT_TITLE,"Perso nell'albero delle abilità?",""
UI_LOST_IN_THE_SKILL_TREE_HINT_DESCRIPTION,"Use power reports to find the perfect skills for your build!",""
UI_SKILL_ONE,"{0} abilità","{0}=amount"
UI_SKILL_MANY,"{0} abilità","{0}=amount"
UI_SKILL_DIFF_ALLOCATE_ONE,"Assegnando questa abilità otterrai",""
UI_SKILL_DIFF_DEALLOCATE_ONE,"Revocando questa abilità otterrai",""
UI_SKILL_DIFF_ALLOCATE_MANY,"L'assegnazione di {0} punti abilità up to here will grant","{0}=amount"
UI_SKILL_DIFF_DEALLOCATE_MANY,"Deallocating {0} skills up to here will grant","{0}=amount"
UI_SKILL_DEALLOCATE_ALERT_CONFIRM_HEADLINE,"Conferma modifiche",""
UI_SKILL_DEALLOCATE_ALERT_CONFIRM_DESCRIPTION,"Vuoi usare {0} per revocare {1}?\n\nTi rimarranno {2}.","{0}=dice, {1}=skill(s), {2}=dice"
UI_SKILL_DEALLOCATE_ALERT_IMPOSSIBLE_HEADLINE,"Non è possibile revocare l'abilità",""
UI_SKILL_DEALLOCATE_ALERT_IMPOSSIBLE_DESCRIPTION,"Hai bisogno di {0} per revocare {1}. Al momento hai solo {2} in tuo possesso.","{0}=dice, {1}=skill(s), {2}=dice"
UI_NOT_POSSIBLE,"Non è possibile","Common alert headline if something is not possible to do"
