key,value,comment,english
UI_START_SCREEN_RESUME,"继续游戏","Resume game button on the start screen","Resume"
UI_START_SCREEN_NEW_GAME,"新游戏","New game button on the start screen","New Game"
UI_START_SCREEN_SETTINGS,"设置","Settings button on the start screen","Settings"
UI_START_SCREEN_EXIT,"退出","Exit button on the start screen","Exit"
UI_CLOSE_BUTTON,"关闭","Button to close a menu or a dialog","Close"
UI_YES_BUTTON,"是","Button to close a menu or a dialog","Yes"
UI_NO_BUTTON,"否","Button to close a menu or a dialog","No"
UI_SETTINGS_TAB_DISPLAY,"显示","Tab for display settings","Display"
UI_SETTINGS_TAB_AUDIO,"音频","Tab for audio settings","Audio"
UI_SETTINGS_TAB_CONTROLS,"控制","Tab for control settings","Controls"
UI_SETTINGS_TAB_SHIP,"战舰","Tab for control settings","Ship"
UI_SETTINGS_DISPLAY_LANGUAGE,"语言","Setting for display language","Language"
UI_SETTINGS_DISPLAY_MODE,"显示模式","Setting for display mode","Display Mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"窗口化全屏","Run the game in windowed fullscreen mode","Windowed Fullscreen"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"窗口模式","Run the game in windowed mode","Windowed"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"全屏","Run the game in exclusive fullscreen","Fullscreen"
UI_SETTINGS_DISPLAY_REFRESH_MODE,"目标 FPS","","Target FPS"
UI_SETTINGS_DISPLAY_REFRESH_MODE_VSYNC,"垂直同步","","V-Sync"
UI_SETTINGS_DISPLAY_REFRESH_MODE_FPS,"{0} FPS","{0}=amount, e.g. 60","{0} FPS"
UI_SETTINGS_DISPLAY_MISSION_DATA,"显示任务数据","Setting to toggle mission data","Show Mission Data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"显示伤害颜色","Setting to toggle damage colors","Show Damage Colors"
UI_SETTINGS_DISPLAY_FPS,"显示FPS","Setting to toggle fps","Show FPS"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"原生鼠标光标","Setting to toggle native mouse cursor","Native mouse cursor"
UI_SETTINGS_AUDIO_LIB,"音频库","Setting to toggle audio library","Audio Lib"
UI_SETTINGS_AUDIO_GLOBAL,"全局设置​","Setting for Global audio volume","Global"
UI_SETTINGS_AUDIO_MUSIC,"音乐","Setting for Music volume","Music"
UI_SETTINGS_AUDIO_SFX,"音效","Setting for SFX volume","SFX"
UI_SETTINGS_AUDIO_UI,"界面","Setting for UI volume","UI"
